patient_id,evidence_hash,model,temperature,prompt_hash,base_map_free_prompt_hash,prompt_difference,status,generated_utc,attempts,error
3001,5f26c0c18421fdcc8816d0c9c763cd8ee7476b2b07af2082c4eecdc8e96803c3,gemini-3.8-flash,0,0cc1bbfeb34c7694e1857b28b0e51180a86f87fe2f05361c541f7140242804f5,25d8b7512772ecb7d4beccf0eb25f7af13f359c97e475f33d9ae877ba5028182,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:06:31.723787+00:00,0,
3054,2f9afe9573b68464ffdd3ecf8c50dd35271c420a09f14dfd11f45fd786da630c,gemini-3.8-flash,0,2f041697687e372e1981b4c0a97ca67f19a101b0ad5d7344fde33616b05194f7,996051a38ec190edf85fb2fb9a1eddb196cb9ece1b492cda93079ce7aa6863f2,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:06:37.592306+00:00,0,
3224,72dfcf12b95569a3ac980e9e96fa1c103f8360bd6a2fbebdfc9bbb59fb68ef24,gemini-3.8-flash,0,121ddb63a8881ab1ce1284a3b467710b4da7da0788998fe765d3e230102d551c,726ff5f10654afb761f8f15f0549aa293b51d7af5c2acc744c5833bcb21e8a5d,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:06:45.719499+00:00,0,
3530,02fb1384389950f8a625f49cf8d0af5f5fccaa9157bd20e988b2ee9bb1948f47,gemini-3.8-flash,0,e219554af69348e483fe2ebe683964cae77acc102222608f1dc55e99b921bfe1,f23e47bab4fe23353052feea2fb62c0e88f76566990e926df632b4e862fa469f,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:06:54.702987+00:00,0,
3758,1ea75024d7e9c70f0b6dba189eed3a92ec21fc837f4f13165126d73bd074a394,gemini-3.8-flash,0,bc43c08a19a8608a336fc1ea1f45a7ce9c680a3b359b013c095eb831f6464fd6,ce3ff2cb6b6a5766e71ac4e6fd11f0dc8be2fc7ad95dde224b40d291c6951acd,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:07:03.159955+00:00,0,
4030,74b9d4443231d7e8ac13a8f8611c64bbee5ab82b8fbd214863d58b42daecfc61,gemini-3.8-flash,0,09063e445e75351fd6cf7bc7cfbf1e8d683a5d7a4d4bebbf825a45042ba7efa9,f20cd7e464d07c9aed0c212954382ce8c65c56c79c9a378bad133034af70cd38,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:07:11.759367+00:00,0,
4054,6fe06fdd36707117e91faf6dab463cd203a97395eccbc1190c5a8b6c00cc4e09,gemini-3.8-flash,0,753a747b39acff849a3ba6eadf2494adae60d8d9db381dfd39f2b809ce91b41c,15c74d6bd973e3d700bf758232366a1e56fa8929e5b6fda3631da32acd171e49,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:07:23.330473+00:00,0,
4098,ee6adca3f37dc35150a600947ab0d6b8b39df1341540638f9dbd6465665cafce,gemini-3.8-flash,0,26ee71fdebb5e3690b8fe1a60852ef97b8b92ac84b9e40e44946be3673c00f10,e3f1b6299d9006683d1a3fa4e0e6f0c3b28ab5666c1edd731982af6d470ccad9,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:07:31.767556+00:00,0,
40538,7f8c51e524635ae63ceea0257b1a5b2b91e44acdac8d30ce68f02df88de93b6d,gemini-3.8-flash,0,78c661c74c729c6e41569cb6dc7ae8435eccbdce905544767a3d278bf31f1aed,eb82275a97ac07e66e77af1ca713d67a49fb40133fee8a51c8e8d0793ff52847,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:07:38.492021+00:00,0,
179752,f8e68f3b6251c6a0a9f355eda65296def918caac25807bffe2b415a723ea5417,gemini-3.8-flash,0,6ffe6d3f42d4f1a4489c2cb3c3f38c6c45d7863a7c1eab1d38b4ef4dfc08e7ad,9930f42a5e811c0913b0fe48c3777b753135507e7148b955d4ef0d590e75e6e1,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:07:50.574787+00:00,0,
3826,347ade893a500340c748ec49527531d248c1cc65f1ea2645482ecd3d9397b1ac,gemini-3.8-flash,0,395e47dd00464d544c4c31b90f06eeed10025ce936e9de9c5899d7e24536c62b,7db98233b610eea5abe6786f52a4eba7c8fb58d65c66cc18ad14d6b17b5b5cbe,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:07:57.760462+00:00,0,
100001,74dd0d143ba9c32111d162ad1b37e45e7104955e927a4f757558fe1d8725e795,gemini-3.8-flash,0,f21dd1d07ffb6704a7497c55856f15f15c08ac64a4cdb735793505347b3166ad,d7b0820308abf01bcd2f5ad008e2eda92f2e5804c2786db626b57ce49a093eea,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:08:11.330066+00:00,0,
101566,a38b641c70dc6de878b80b122f45625785b014f7f09a2651e591d8893cb0868e,gemini-3.8-flash,0,0b89f5883188cbabdca136e16560962a27b23ebc35b9ce8c8f3b4ac138d1bf27,5721b803896656037022709119391da7d2e6a1f68a6b26f32ff575e0f83ab64c,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:08:22.224033+00:00,0,
102479,9393d1f42d79d25f8de52ed190830860f717d188ac0085298ed9a59e4e317f4e,gemini-3.8-flash,0,20b60ea49bfd34e2d11851fdf6090517b0f8e0ea5be5ff8e7fc1ec79b60ad10b,6a5858481e6a120a9ccbf0c688e7b64871766514d9abd1e13e408680db0cb86a,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:08:32.141846+00:00,0,
130828,7286d56ac98d4913670fd3e2dde92f6d67c87bb0b550e06a52c76b8dc2bceb1e,gemini-3.8-flash,0,af4757fdc884dd2ac3216cc2457bb3d9aa3fefc380b4bfd33cfed04481d7b7a5,6e2bbd2bdea618263966fbb3789935485db33b45e497083e0c5aa5ad1115f560,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:08:43.091151+00:00,0,
190603,46b810242fe69443598275d24007568b7185b6fd1dd876b05d27d16874de4d1c,gemini-3.8-flash,0,0090138c728afd66f759bf1c7f268d2d2f2b8c8106db716092a987a5aeee188d,8ac58b21e9c735320403dec5206837d7ce2bc7221966caab84b3e5bfcbf24111,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:08:51.929594+00:00,0,
218338,28a517ce0167ac6dac1ae739f7c44bf0f22625ba12c841fe855c541d98a5cdfc,gemini-3.8-flash,0,dc08bbd9a1a69076ba944b68441c1928f5f3ffdcc1d478bca74ad1c3a24d2f91,d061576f3eba02b97cea070db2cf6705d7a46a1db24fb220de7082b80da41d46,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:09:00.874366+00:00,0,
224574,ff827b7f06bb7b8a435fed98ce543b94022c3262f13bec28cdd85ceb4bc160b8,gemini-3.8-flash,0,20ea5423d0543ca6385f13acd1e111fe0c0e209cff3da124e21db287c3cb77f3,effed208d0b1193a2c8a73ac28aa4a9338d19c8e0d2f02f8fffe03a49e933a05,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:09:10.084927+00:00,0,
241069,b41d2da7cd77c01d1108abc35ac2b8d551092d17319c5fe4e74a57d97513cbcd,gemini-3.8-flash,0,5343f8104f95e9f573c69b36a4fa35aa8118f0e2cd82b82eb7deedd8c99ee6c9,4c326b3290c61a90a56a5bebb14bc05b84613869f71d905649691f6ed6b345be,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:09:17.436943+00:00,0,
292826,367cc8475b2c0a0bab620c4a840a16a2f0c79c41a03d3a37c7a350442618f112,gemini-3.8-flash,0,8533ae6b7600eee1bc737daf93f5f89414a3505cebd7559568580c36aa9466b5,04d911b1e919dba1d9146a53afa41ab5faf225da04885c0ff10572b6591498b5,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:09:26.814397+00:00,0,
